,Company,Date,Adj Close,Volume,press release,Price change,Price change pct,Compound,Negative,Neutral,Positive,polarity,subjectivity,text length,word_count,word_density,punctuation_count,upper_case_word_count,stopword_count,readability,noun_count,verb_count,adj_count,adv_count,pron_count,top_words,Price change sign long,word_calculation
0,abbott,2015-01-01,38.122101,116055300,,,,,,,,,,,,,,,,,,,,,,,,
1,abbott,2015-02-01,40.558586,112821400,,,,,,,,,,,,,,,,,,,,,,,,
2,abbott,2015-03-01,39.668137,113588200,,,,,,,,,,,,,,,,,,,,,,,,
3,abbott,2015-04-01,39.745201,98185000,,,,,,,,,,,,,,,,,,,,,,,,
4,abbott,2015-05-01,41.824631,89226800,,,,,,,,,,,,,,,,,,,,,,,,
5,abbott,2015-06-01,42.237709,108410700,,,,,,,,,,,,,,,,,,,,,,,,
6,abbott,2015-07-01,43.623253,118347200,,,,,,,,,,,,,,,,,,,,,,,,
7,abbott,2015-08-01,39.164341,148048600,,,,,,,,,,,,,,,,,,,,,,,,
8,abbott,2015-09-01,34.780067,160513800,,,,,,,,,,,,,,,,,,,,,,,,
9,abbott,2015-10-01,38.740616,173492100,,,,,,,,,,,,,,,,,,,,,,,,
10,abbott,2015-11-01,39.069935,109825400,,,,,,,,,,,,,,,,,,,,,,,,
11,abbott,2015-12-01,39.061237,120192000,,,,,,,,,,,,,,,,,,,,,,,,
12,abbott,2016-01-01,32.920685,178808100,,,,,,,,,,,,,,,,,,,,,,,,
13,abbott,2016-02-01,33.907413,148835100,,,,,,,,,,,,,,,,,,,,,,,,
14,abbott,2016-03-01,36.611965,146242600,,,,,,,,,,,,,,,,,,,,,,,,
15,abbott,2016-04-01,34.047462,180306100,,,,,,,,,,,,,,,,,,,,,,,,
16,abbott,2016-05-01,34.898293,251941800,,,,,,,,,,,,,,,,,,,,,,,,
17,abbott,2016-06-01,34.616505,224900700,,,,,,,,,,,,,,,,,,,,,,,,
18,abbott,2016-07-01,39.406975,219172600,,,,,,,,,,,,,,,,,,,,,,,,
19,abbott,2016-08-01,37.230869,227349600,,,,,,,,,,,,,,,,,,,,,,,,
20,abbott,2016-09-01,37.470097,161480600,,,,,,,,,,,,,,,,,,,,,,,,
21,abbott,2016-10-01,34.767708,187783500,,,,,,,,,,,,,,,,,,,,,,,,
22,abbott,2016-11-01,33.94548,180432800,,,,,,,,,,,,,,,,,,,,,,,,
23,abbott,2016-12-01,34.248642,178428200,,,,,,,,,,,,,,,,,,,,,,,,
24,abbott,2017-01-01,37.244621,211271100,,,,,,,,,,,,,,,,,,,,,,,,
25,abbott,2017-02-01,40.455658,165452100,,,,,,,,,,,,,,,,,,,,,,,,
26,abbott,2017-03-01,39.854382,148914700,,,,,,,,,,,,,,,,,,,,,,,,
27,abbott,2017-04-01,39.163383,135569400,,,,,,,,,,,,,,,,,,,,,,,,
28,abbott,2017-05-01,41.226788,132880600,,,,,,,,,,,,,,,,,,,,,,,,
29,abbott,2017-06-01,43.890377,160419100,,,,,,,,,,,,,,,,,,,,,,,,
30,abbott,2017-07-01,44.405037,114458500,,,,,,,,,,,,,,,,,,,,,,,,
31,abbott,2017-08-01,46.248684,101731600,,,,,,,,,,,,,,,,,,,,,,,,
32,abbott,2017-09-01,48.445824,125039500,,,,,,,,,,,,,,,,,,,,,,,,
33,abbott,2017-10-01,49.235706,125041700,,,,,,,,,,,,,,,,,,,,,,,,
34,abbott,2017-11-01,51.428955,110451700,,,,,,,,,,,,,,,,,,,,,,,,
35,abbott,2017-12-01,52.067596,128810800,,,,,,,,,,,,,,,,,,,,,,,,
36,abbott,2018-01-01,56.711449,156001900,"2017 was a great year for us — we performed well, our new product pipeline was highly productive and we took some very important strategic steps forward. e’re entering 2018 with very good momentum.",0.0,0.0,0.8882,0.0,0.723,0.277,0.5052727272727273,0.7049090909090909,197.0,34.0,5.628571428571429,3.0,0.0,12.0,10.766924444444443,8.0,6.0,6.0,5.0,4.0,"[('2017', 1), ('great', 1), ('year', 1), ('performed', 1), ('new', 1), ('product', 1), ('pipeline', 1), ('highly', 1), ('productive', 1), ('took', 1)]",1.0,1.4507462686567167
37,abbott,2018-02-01,55.305077,142631600,,-1.4063720000000046,-2.479873155771429,,,,,,,,,,,,,,,,,,,,,
38,abbott,2018-03-01,54.929226,141022100,,-1.782223000000002,-3.1426158763815075,,,,,,,,,,,,,,,,,,,,,
39,abbott,2018-04-01,53.288315,136142700,,-3.4231340000000046,-6.036054553993154,,,,,,,,,,,,,,,,,,,,,
40,abbott,2018-05-01,56.676636,119238100,,-0.03481299999999976,-0.06138619381775937,,,,,,,,,,,,,,,,,,,,,
41,abbott,2018-06-01,56.179222,106517500,,-0.5322269999999989,-0.9384824570431959,,,,,,,,,,,,,,,,,,,,,
42,abbott,2018-07-01,60.370335,108829300,,3.6588859999999954,6.451758973747957,,,,,,,,,,,,,,,,,,,,,
43,abbott,2018-08-01,61.844543,94870900,,5.133094,9.051248187998159,,,,,,,,,,,,,,,,,,,,,
44,abbott,2018-09-01,67.877251,109301400,,11.165802,19.68879687768161,,,,,,,,,,,,,,,,,,,,,
45,abbott,2018-10-01,63.787594,182684600,,7.076144999999997,12.47745406751994,,,,,,,,,,,,,,,,,,,,,
46,abbott,2018-11-01,68.797401,133863300,,12.085951999999992,21.311308762362945,,,,,,,,,,,,,,,,,,,,,
47,abbott,2018-12-01,67.199394,144019200,,10.487944999999996,18.493523239020035,,,,,,,,,,,,,,,,,,,,,
